Studio or Outdoor Location Name (Name),Contributor Name ,Link To Interview Responses (Contribution Item),Location Entry (Omeka),Contribution (Omeka),Collection (Omeka),Neighborhood (Coverage),City,Instagram (Source),Website (Identifier),Tags,(Description),LATITUDE,LONGITUDE
YO BK (Greenpoint),Kate Durand,https://drive.google.com/file/d/1PjvR3Z3wLVCtUxz6mSH9JmOnfpPftlrp/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/143,https://nycyogastudiosarchive.omeka.net/items/show/292,Brooklyn Yoga,Greenpoint,Brooklyn,https://www.instagram.com/yo.bk/,http://www.yo-bk.com/,"	Activism
	Aerial
	Female Owned
	Hot & Heated Yoga
	Outdoor Classes
	Pre-Pandemic","YO BK are not donation based, however they recommend new students take advantage of our 2 week trail for $89 . They have a third location in Wynwood, Miami. While this is not for the purposes of a local map, it is nice to mention. No Aerial Yoga in Williamsburg, just in Greenpoint Class format: In-person, On-Demand (no live classes). Outdoor classes have been held at multiple locations in the past. This summer it is the Box House Hotel.""",40.72342288893962,-73.95079220332944
YO BK (Williamsburg),Kate Durand,https://drive.google.com/file/d/1PjvR3Z3wLVCtUxz6mSH9JmOnfpPftlrp/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/144,https://nycyogastudiosarchive.omeka.net/items/show/293,Brooklyn Yoga,Williamsburg,Brooklyn,https://www.instagram.com/yo.bk/,http://www.yo-bk.com/,"Activism
	Female Owned
	Hot & Heated Yoga
	Outdoor Classes
	Pre-Pandemic","YO BK are not donation based, however they recommend new students take advantage of our 2 week trail for $89 They have a third location in Wynwood, Miami. While this is not for the purposes of a local map, it is nice to mention. No Aerial Yoga in Williamsburg, just in Greenpoint Class format: In-person, On-Demand (no live classes). Outdoor classes have been held at multiple locations in the past. This summer it is the Box House Hotel.",40.71103904028503,-73.96796763777454
Box House Hotel,Kate Durand,https://drive.google.com/file/d/1PjvR3Z3wLVCtUxz6mSH9JmOnfpPftlrp/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/286,https://nycyogastudiosarchive.omeka.net/items/show/294,Outdoor Yoga,Williamsburg,Brooklyn,https://www.instagram.com/yo.bk/,http://www.yo-bk.com/,,"YO BK are not donation based, however they recommend new students take advantage of our 2 week trail for $89 They have a third location in Wynwood, Miami. While this is not for the purposes of a local map, it is nice to mention. No Aerial Yoga in Williamsburg, just in Greenpoint Class format: In-person, On-Demand (no live classes). Outdoor classes have been held at multiple locations in the past. This summer it is the Box House Hotel.",40.73783228643957,-73.95350067371632
McCarren Park,Kate Durand,https://drive.google.com/file/d/1PjvR3Z3wLVCtUxz6mSH9JmOnfpPftlrp/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/177,https://nycyogastudiosarchive.omeka.net/items/show/295,Outdoor Yoga,Williamsburg,Brooklyn,https://www.instagram.com/yo.bk/,http://www.yo-bk.com/,,"YO BK are not donation based, however they recommend new students take advantage of our 2 week trail for $89 They have a third location in Wynwood, Miami. While this is not for the purposes of a local map, it is nice to mention. No Aerial Yoga in Williamsburg, just in Greenpoint Class format: In-person, On-Demand (no live classes). Outdoor classes have been held at multiple locations in the past. This summer it is the Box House Hotel.",40.72130827707577,-73.95126243297052
Ocean Bliss Yoga,Jen Kelleher,https://drive.google.com/file/d/1RYPZ3ULh0wWnYaUeE_rWccWddrn_-OrW/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/113,https://nycyogastudiosarchive.omeka.net/items/show/263,Queens Yoga,Rockaway,Queens,https://www.instagram.com/ocean_blissyoga/,http://www.oceanblissyoga.net,"	Activism
	Female Owned
	Live Stream
	Pre-Pandemic",Located inside the Bell Harbor Yacht Club. The space is accessed via a 3 story walk up. staircase. The studio overlooks Jamaica Bay and the NYC skyline.,40.583000639664455,-73.84763784082836
Shambhala Yoga Dance (Relocated),Heather Sanderson,https://drive.google.com/file/d/1R0mVUcxYlRaVwu_VwNJcRWBSEU0f-KkO/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/247,https://nycyogastudiosarchive.omeka.net/items/show/166,Chain Location Closed/Relocated,Prospect Heights,Brooklyn,https://www.instagram.com/shambhalayogadance/?hl=en,https://www.shambhalayogadance.com/,"	Black Owned
	Chair Yoga
	Female Owned
	Iyengar
	Teacher Training",The former location for Shambhala Yoga Dance. This studio has gone through several owners and has moved down the block. Unfortunately no more Iyengar walls are to be found!,40.67766376361279,-73.96396027332476
Shambhala Yoga Dance,Heather Sanderson,https://drive.google.com/file/d/1R0mVUcxYlRaVwu_VwNJcRWBSEU0f-KkO/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/122,https://nycyogastudiosarchive.omeka.net/items/show/166,Brooklyn Yoga,Prospect Heights,Brooklyn,https://www.instagram.com/shambhalayogadance/?hl=en,https://www.shambhalayogadance.com/,"	Black Owned
	Chair Yoga
	Female Owned
	Iyengar
	Teacher Training",They have classes oudoors on Underhill & Atlantic plaza during the summer. This post 2001 studio is a mainstay it seems with many senior brooklyn based teachers holding classes here for over 20 years.,40.6775433,-73.9626248
Underhill and Flatbush Ave,Heather Sanderson,https://drive.google.com/file/d/1R0mVUcxYlRaVwu_VwNJcRWBSEU0f-KkO/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/280,https://nycyogastudiosarchive.omeka.net/items/show/166,Outdoor Yoga,Prospect Heights,Brooklyn,,,,"Shambhala held weekly classes here in Su,,er 2023",40.6811108188834	,	-73.9645520396371
Mount Prospect Park,Heather Sanderson,https://drive.google.com/file/d/1R0mVUcxYlRaVwu_VwNJcRWBSEU0f-KkO/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/197,https://nycyogastudiosarchive.omeka.net/items/show/166,Outdoor Yoga,Prospect Heights,Brooklyn,,https://www.nycgovparks.org/parks/mount-prospect-park,,Prospect Heights Yoga used to hold their classes here. Rumor has it that some of their former teachers still hold classes here during the summer seasons.,40.6709263597478,-73.9671541089561
Mount Prospect Park,Claire Baum,https://drive.google.com/file/d/1vVCOXsQJhTGHksJfbQ4d_f9affS_z6pC/view?usp=share_link,https://nycyogastudiosarchive.omeka.net/items/show/258,https://nycyogastudiosarchive.omeka.net/items/show/197,Outdoor Yoga,Prospect Heights,Brooklyn,http://instagram.com/lindenmovementlab/,,,Prospect Heights Yoga used to hold their classes here. Rumor has it that some of their former teachers still hold classes here during the summer seasons.,40.6709263597478,-73.9671541089561
